Marca temporal,Número de cuenta,¿Cuál es tu mayor preocupación al terminar tus estudios?,¿Qué factores influyen más en tu decisión sobre qué camino seguir después de egresar?,¿Cuál es tu situación actual respecto a la elección de un camino profesional después de egresar?,¿Qué tipo de apoyo crees que te ayudaría más en esta etapa de decisión?,¿Qué habilidades o conocimientos crees que son esenciales para tomar una decisión sobre tu especialización o carrera profesional después de egresar?,¿En qué medida consideras que las prácticas profesionales o proyectos extracurriculares influirán en tu decisión de que camino seguir?,¿Cómo visualizas tu carrera profesional dentro de 5 años? ¿Qué tipo de trabajo o proyectos te gustaría estar realizando?,¿Qué es lo que más valoras en un posible empleo o área de especialización después de terminar tu carrera?,¿Qué tan útil consideras el material de estudio de la carrera para conseguir trabajo?,¿Sientes que tu carrera universitaria te permitió desarrollar una red de contactos profesionales que te ha ayudado en tu camino laboral?,¿Qué aspectos de tu formación académica crees que podrían mejorarse para preparar mejor a los futuros egresados?,¿Consideras que el contenido de tu carrera estuvo actualizado con las necesidades actuales del mercado laboral?
2025-02-25 20:30:04.522,422075345,Comer,El dinero y la felicidad principalmente,Ya tengo un camino pensado y empezado,Tener transporte propio,Tener conocimiento sobre el campo laboral y cómo desempeñarse,bastante,Ser director en la empresa en la que trabajo puede ser una opcion,Las actividades diarias y el salario ,"No tanto, ya que todo se puede conseguir en el momento en internet",No tanto hasta el momento,Acercar más opciones de prácticas profesionales o de internships,a veces
2025-02-26 03:56:02.340,318104263,No encontrar trabajo ,Si voy a tener un buen sueldo ,"Me siento indeciso, la mayoría de las áreas me llaman la atención.",Tener prácticas de diferentes áreas ,Conocer muy bien de que trata cada area de especialización.,Influyen mucho ,"Me visualizo teniendo un trabajo estable, trabajando de manera remota o teniendo una empresa de software. ",Que sea flexible con el área de trabajo y que tenga buenos horarios.,Medianamente útil ,Si.,Tener materias de habilidades blandas.,No.
2025-02-28 00:26:52.421,422068044,quedarme sin casa ni posibilidad de alimento,oportunidades que aparezcan ,hacer una maestría,económico ,saber que pasos tomar y tener un mayor autoconocimiento ,"demasiado, da una pequeña muestra del mundo laboral ",-,tiempo y hacer algo que me apasione ,mucho,"si, siempre se dedico a esa interacción",Una mayor relación laboral con las empresas y la comunidad ,"no, pero hay muchos cursos extras que lo complementan "
2025-02-28 17:14:19.785,317237748,No llegar a conseguir un buen empleo,Mi familia y que esté cerca de mi casa,Buscando buenas opciones de trabajo,Alguna persona de fuera que me oriente,Las mates aplicadas junto con la programación,"Poco, ya que he hecho varios proyectos","Ser el líder de una empresa o jefe de área, relacionado a TI o IA ",Que valga más como persona que el trabajo que puedo dar,Muy útil,Sí,Llegar más preparados y conociendo un poco más la carrera,"Sí, por supuesto."
2025-02-28 17:35:49.834,421087105,no tener trabajo,el salario mensual,necesito tener mi titulo,conferencias,saber que quieres,mucho,homeoffice,el salario,nada util,no,ser más practico,no
2025-02-28 17:36:20.116,319289619,El nivel de inglés que cuento actualmente ,En la confianza de mis conocimientos y sí dicho camino me llevará a algo más próspero ,Encontrar un puesto que se ajuste a mi área de conocimiento,"Mayor cantidad de ferias del empleo en la facultad, así como más platicas informativas de egresados ","Pensamiento critico, buenas comunicación, dominio del inglés ",Tendrían un gran impacto,Me gustaría tener una plaza en Oracle como desarrollador de software ,Ambiente laboral y oportunidad de crecimiento y aprendizaje ,Relativamente útil ,Si,La mejora y actualización de los temarios y laboratorios,En su mayoría no
2025-02-28 17:47:44.134,422087359,El rumbo de la sociedad,"Sociales, económicos, emocionales, interpersonales, políticos, físicos, naturales ",posponiendo la decisión ,Ninguno ,Si pudiera conocer la mejor elección sería muy fácil ,Bastante ,Me gustaría desarrollar software ,La posibilidad de escalar,Bastante,Si,No lo se,Relativamente 
2025-02-28 17:48:43.332,422079312,Titularme,"Áreas que domino, de mi interés, invitaciones que me lleguen a hacer acerca de lugares para entrar a trabajar o proyectos a los que me inviten, apoyado de factores de ubicación, tiempos de traslados, horarios y remuneración económica ",¿tranquila? no me da miedo conseguir empleo o buscar especialización en algún área ,nain nain,"para alumnos de 6to semestre, debes de conocer cuál es su área que les gusta y en cuál se sienten más versados para de ese modo sabrán que optativas elegir y a dónde dirigir sus esfuerzos ",considero que el camino que elija influirá en las prácticas o proyectos a los que quiera ingresar y no al revés ,"Áreas en las que me gustaría estar trabajando
Ciencia de datos 
Soluciones de IA
Desarollo de IA Generativa
Investigador en RL",que tanto pueda seguir aprendiendo y nuevos retos que pueda afrontar ,muy bueno,no he trabajado como para recibir apoyo en el camino laboral ,que las optativas que se ofrezcan sean impartidas por profesores que sean expertos en el área ,yep
2025-02-28 17:59:17.205,315124208,No encontrar trabajo ,Mis gustos y el dinero ,Confundida si estoy ,No se,Sueldos y mis habilidades ,Mucho,Algo sobre seguridad computacional,Sueldo y gustos,Muy poco,Si,Mejorar los temarios,Algunos
2025-02-28 18:08:24.654,319024791,Qué hacer con mi vida después de eso,Factores económicos e interpersonales,No he elegido uno de forma segura,Conocer a personas que han estado en la misma situación,Los que me permitirán tomar una decisión acertada,Algo,Proyectos donde me siento cómodo,Ambiente laboral,¿Qué es el material de estudio?,Sí ,Mejores habilidades blandas,Sí 
2025-02-28 18:46:40.522,421077205,La felicidad,Que me hace realmente feliz,Chida,1000000  de pesos para pensar tranquilo ,Mmmm networking,Pues descubrir que me ayuda mas,Ciencia de datos,Que me incluyan en proyectos que sumen,Mucho,No para nada,Que el plan de estudios esté más actualizado,Noo
2025-02-28 18:47:45.904,419083238,Conseguir chamba,Mi Chamba actual,Ser especialista de datos.,Cursos en la carrera orientados a sectores especificos del ambito laboral,"Estadistica, computacion",Mucha,"Ser un Cientifico de Datos en una empresa o gerente de alguna area de analisis, rumbo a un puesto Global",Que se apegue a mis intereses y el salario sea bueno,Bastante mas las optativas,No,Red de contactos en la carrera,Medio medio casi casi
2025-02-28 18:49:03.214,319173930,Titularme,Donde se me remuneré económicamente. ,Indefinida aun,Económico.,Tener la disposición de aprender lo que no sabes.,En ninguno.,Trabajando en ciencia de datos.,El sueldo.,"Creo que la carrera es muy autodidacta, pero la carrera te da las bases.",No,"Habilidades Blandas, sin IBM","Si, pero las materias más actualizadas son los temas selectos. "
2025-02-28 20:24:58.429,421041149,no encontrar un buen trabajo,saber que es lo que voy a hacer el resto de mi vida,quiero trabajar en algo que me guste,algun programa para encontrar trabajos,desarrollo de entrevistas y creacion de cv para ser considerado en mejores vacantes,tienes conocimientos mas diversos,me gustaria trabajar en algo de ciencia de datos ,buen sueldo y aprender mucho,es diverso pero algo basico,no,experiencias mas cercanas a lo profesional,si
2025-02-28 20:27:56.478,316348838,Ninguna,Quiero comer,Estoy trabajando,Me ayudo hablar con los profesores tanto los que solo se dedican a dar clase como los que trabajan,"Qué te gusta, para qué eres bueno y qué te deja dinero, solo puedes elegir dos","Ninguna, no refleja la vida laboral",No lo sé,El ambiente laboral,Muy poco útil,No,Más contacto con lo que se usa en un trabajo real,No
2025-02-28 20:41:11.817,422041654,Trabajar muchos años hasta jubilarme,El querer subsistir de una forma decorosa,Es complicado elegir una rama por la cual decantarse.,Una especie de rotación sobre las distintas ramas o carreras,Conocer el futuro ñlaboral en cuanto a actividades a realizar y conocimientos que se deben tener.,En la más alta medida,Me gustaría estar aprendiendo constantemente y enfrentándome a retos con métricas y ayuda alcanzables.,La disposición a enseñar habilidades o cosas que inicialmente no sepa.,Muy útil ya que nos permite repasar oreforzar conocimiento.,No del todo.,Justo afrontar ejemplos de la vida laboral y resolverlos en conjunto o con guía del docente.,No del todo.
2025-02-28 20:55:43.346,317075261,Que no me haya gustado la carrera,Las materias que curse,"me siento  cómodo, ya que ye cuento con trabajo",Psicologico,Los perfiles de las ofertas de vacantes,influyen mucho,Alguna grencia,empleo,demasiado,si,habilidades blandas,podría mejorar
2025-03-02 15:42:46.861,318038414,Encontrar trabajo :D,"Sueldo, oportunidad de crecimiento y preferencias personales.","Creo que lo tengo claro, sin embargo, me encuentro algo estancado.",Alguna inducción profesional.,Tener un panorama completo acerca de las opciones que existen.,"Algo, ya que gracias a ellas se a donde no quiero ir.","Aun empezando, me parece poco tiempo, aunque me gustaria estar en el tipo de industria en la que me gustaria desarrollarme.",Relación sueldo-carga de trabajo.,Nada util.,"Si, un poco.",Un acercamiento más temprano al ámbito laboral.,No al 100
2025-03-02 22:24:06.117,316201737,Hasta ahorita ninguna,mi trabajo actual,Ya estoy trabajando en algo que me gusta,Guia en la forma de titulación,El saber expresar lo que quiero y lo que sé hacer para llegar a lograrlo,Nada,Haber crecido en mi trabajo actual,El ambiente laboral y las oportunidades de crecimiento,Mucho,No,Más oportunidades en los horarios o poder llevar clases en línea para poder trabajar y estudiar ,Si
